                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                 1.3343,                 1.7891,                 1.4869,                0.50254,                0.38815,                0.40489,                 0.2496,                 1.3948,                 1.6646,                 1.5968,              0.0089308,              0.0089308,              0.0089308
                    110,                 1.3255,                 1.8021,                 1.4852,                0.49453,                0.38853,                0.40223,                0.24817,                 1.3978,                 1.6621,                  1.597,              0.0089209,              0.0089209,              0.0089209
                    111,                 1.3058,                 1.7769,                 1.4802,                0.49216,                0.39397,                0.40523,                0.25148,                 1.3879,                 1.6509,                  1.592,               0.008911,               0.008911,               0.008911
                    112,                 1.3185,                 1.7958,                 1.4788,                0.49679,                0.37286,                0.40195,                0.25093,                 1.3834,                 1.6688,                 1.5884,              0.0089011,              0.0089011,              0.0089011
                    113,                  1.328,                 1.8045,                 1.4812,                0.51017,                0.37131,                0.40726,                 0.2526,                 1.3862,                 1.6492,                 1.5879,              0.0088912,              0.0088912,              0.0088912
                    114,                 1.3201,                 1.7917,                 1.4727,                0.51064,                0.37032,                0.40651,                 0.2528,                 1.3763,                  1.659,                 1.5848,              0.0088813,              0.0088813,              0.0088813
                    115,                 1.3217,                 1.7909,                 1.4864,                 0.5223,                 0.3809,                0.40931,                0.25425,                 1.3887,                 1.6633,                 1.5884,              0.0088714,              0.0088714,              0.0088714
                    116,                  1.313,                 1.7772,                 1.4788,                 0.5214,                0.39029,                0.40799,                0.25287,                 1.3867,                 1.6422,                 1.5861,              0.0088615,              0.0088615,              0.0088615
                    117,                 1.3124,                 1.7667,                 1.4704,                0.49028,                0.40145,                0.41833,                0.26135,                 1.3776,                 1.6233,                 1.5772,              0.0088516,              0.0088516,              0.0088516
                    118,                  1.306,                 1.7806,                 1.4657,                0.47098,                0.40923,                0.40959,                0.25419,                 1.3819,                 1.6428,                 1.5841,              0.0088417,              0.0088417,              0.0088417
                    119,                  1.296,                 1.7518,                 1.4693,                0.49091,                 0.3961,                0.41201,                0.25601,                 1.3946,                 1.6315,                 1.5882,              0.0088318,              0.0088318,              0.0088318
                    120,                 1.2974,                 1.7618,                 1.4688,                0.47903,                0.40898,                0.40883,                0.25502,                  1.383,                 1.6331,                 1.5865,              0.0088219,              0.0088219,              0.0088219
                    121,                 1.3129,                 1.7784,                  1.461,                0.49352,                0.41079,                0.41243,                0.25495,                 1.3749,                 1.6345,                 1.5719,               0.008812,               0.008812,               0.008812
                    122,                 1.3051,                 1.7732,                 1.4665,                0.50813,                 0.4056,                0.41611,                0.25793,                  1.373,                 1.6258,                 1.5742,              0.0088021,              0.0088021,              0.0088021
                    123,                 1.2889,                 1.7434,                 1.4517,                 0.5088,                 0.4034,                0.42287,                0.26128,                 1.3703,                 1.6151,                 1.5705,              0.0087922,              0.0087922,              0.0087922
                    124,                 1.3021,                 1.7343,                 1.4642,                0.50627,                 0.4145,                0.42748,                0.26621,                 1.3659,                 1.6041,                 1.5742,              0.0087823,              0.0087823,              0.0087823
                    125,                 1.2956,                  1.755,                 1.4608,                0.51669,                0.39519,                0.42044,                0.26069,                 1.3557,                  1.612,                 1.5649,              0.0087724,              0.0087724,              0.0087724
                    126,                 1.3017,                 1.7504,                 1.4654,                0.50064,                0.41641,                0.42436,                0.26342,                 1.3637,                 1.6121,                 1.5679,              0.0087625,              0.0087625,              0.0087625
                    127,                  1.297,                 1.7451,                 1.4636,                0.54483,                 0.4007,                0.42978,                0.26614,                 1.3583,                 1.6059,                 1.5692,              0.0087526,              0.0087526,              0.0087526
                    128,                 1.2777,                 1.7397,                 1.4488,                0.50138,                0.40374,                 0.4227,                0.26505,                 1.3612,                 1.6001,                 1.5712,              0.0087427,              0.0087427,              0.0087427
                    129,                 1.2862,                 1.7221,                 1.4545,                0.51318,                0.41333,                 0.4296,                0.26756,                 1.3696,                 1.5957,                 1.5749,              0.0087328,              0.0087328,              0.0087328
                    130,                 1.3124,                 1.7522,                  1.464,                0.52086,                0.40948,                0.42927,                0.26876,                 1.3645,                 1.5882,                 1.5715,              0.0087229,              0.0087229,              0.0087229
                    131,                 1.2868,                 1.7478,                 1.4546,                0.51173,                0.40912,                0.43081,                0.26901,                 1.3645,                  1.596,                 1.5733,               0.008713,               0.008713,               0.008713
                    132,                 1.2809,                 1.7275,                 1.4508,                0.51209,                0.42502,                0.42983,                 0.2699,                 1.3614,                 1.5906,                 1.5726,              0.0087031,              0.0087031,              0.0087031
